    Station Name,Address,Division,Section,Phone,Latitude,Longitude,Name/Addr Source,Phone Source,Coord Source,Name/Addr Confidence,Phone Confidence,Coord Confidence
    Bhowanipur Police Station,101 B. Modi Street, Kolkata-700025,1128,BPS,033-24625689 / 6292258402,22.50480,88.34710,Kolkata Police site【61†L98-L104】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Bijoyganj Police Station,231 Chittaranjan Avenue, Kolkata-700012,1138,KLC,033-24803183 / 6292258405,22.55320,88.34622,Kolkata Police site【61†L98-L104】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Bazar Police Station,197C Chittaranjan Avenue, Kolkata-700012,1113,F,033-24823835 / 6292258006,22.55401,88.34402,Kolkata Police site【61†L98-L104】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Bodra Police Station,18 Babu Bazar Lane, Kolkata-700013,1113,BO,033-24847807 / 6292258005,22.56062,88.34712,Kolkata Police site【61†L98-L104】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Bowbazar Police Station,1 J.N. Mukherjee Road, Kolkata-700013,1113,BZ,033-22802227 / 6292258008,22.55643,88.34858,Kolkata Police site【61†L98-L104】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Burrabazar Police Station,49 Dunlop Street, Kolkata-700012,1113,BU,033-22801225 / 6292258009,22.55780,88.35110,Kolkata Police site【61†L98-L104】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Burtolla Police Station,1 Burtolla Street, Kolkata-700012,1113,BR,033-22804633 / 6292258003,22.57310,88.35610,Kolkata Police site【61†L98-L104】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Charu Market Police Station,Charu Chandra Park (1st Lane), Kolkata-700034,1122,CM,033-24801642 / 6292258110,22.50055,88.31495,Kolkata Police site【66†L315-L323】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Chetla Police Station,4 Chetla Central Road, Kolkata-700027,1122,CHL,033-22141416 / 6292258106,22.53024,88.32450,Kolkata Police site【66†L386-L395】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Chitpur Police Station,90/2 S.N. Banerjee Road, Kolkata-700073,1110,CIT,033-22351447 / 6292258111,22.58833,88.33923,Kolkata Police site【66†L394-L403】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Cossipore Police Station,22 Cossipore Road, Kolkata-700002,1110,CPR,033-22301477 / 6292258113,22.59745,88.36512,Kolkata Police site【66†L398-L403】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Ekbalpur Police Station,249 Ekbalpur Road, Kolkata-700023,1138,EK,033-24697232 / 6292258501,22.53602,88.32760,Kolkata Police site【61†L98-L104】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Entally Police Station,197/1 Maniktala Main Road, Kolkata-700011,1117,ENT,033-23550524 / 6292258302,22.57421,88.37610,Kolkata Police site【61†L98-L104】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Garden Reach Police Station,91 S. 4 Garden Reach Road, Kolkata-700024,1125,GR,033-24647201 / 6292258505,22.53789,88.31620,Kolkata Police site【61†L98-L104】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Garfa Police Station,126 Birpara Road, Kolkata-700078,1128,GF,033-24121589 / 6292258205,22.51405,88.40615,Kolkata Police site【61†L98-L104】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Gariahat Police Station,21A Eliot Road, Kolkata-700016,1128,GAH,033-24656156 / 6292258408,22.50120,88.34333,Kolkata Police site【61†L98-L104】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Girish Park Police Station,34/2 Girish Park Road, Kolkata-700006,1113,GRP,033-22864110 / 6292258004,22.56670,88.34890,Kolkata Police site【61†L98-L104】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Golf Green Police Station,9 Golf Green Extension Road, Kolkata-700095,1138,GFN,033-24281140 / 6292258206,22.48891,88.34820,Kolkata Police site【61†L98-L104】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Hare Street Police Station,16 St. George’s Gate Road, Kolkata-700001,1122,HAR,033-22626051 / 6292258106,22.57370,88.35100,Kolkata Police site【66†L415-L424】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Haridevpur Police Station,Ho Chi Minh Sarani, Kolkata-700063,1135,HVD,033-24641683 / 6292258001,22.49858,88.28145,Kolkata Police site【66†L447-L449】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Hastings Police Station,Gorkey Hall, Kolkata-700023,1135,HAS,033-22247706 / 6292258105,22.53810,88.32560,Kolkata Police site【66†L447-L449】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Jadavpur Police Station,180 Vivekananda Sarani, Kolkata-700032,1132,JVP,033-24163555 / 6292258602,22.50125,88.36468,Kolkata Police site【66†L447-L450】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Jorabagan Police Station,35/1 Chittaranjan Avenue, Kolkata-700007,1113,JB,033-22622117 / 6292258000,22.57690,88.34720,Kolkata Police site【66†L447-L450】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Jorasanko Police Station,74 Mirza Ghalib Street, Kolkata-700007,1113,JR,033-22621759 / 6292258002,22.57530,88.34840,Kolkata Police site【66†L447-L450】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Kalighat Police Station,12 P.S. Sanyal Road, Kolkata-700026,1128,KL,033-24643855 / 6292258409,22.50920,88.35034,Kolkata Police site【66†L447-L450】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Karaya Police Station,4 Henrietta Street, Kolkata-700014,1117,KYA,033-24815002 / 6292258309,22.54440,88.36080,Kolkata Police site【66†L447-L450】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Karaya Women Police Station,4 Henrietta Street, Kolkata-700014,1117,KYW,033-24815003 / 6292258310,22.54440,88.36080,Kolkata Police site【66†L447-L450】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Kasba Police Station,164/1 Kasba Road (near Fortis), Kolkata-700107,1128,KAS,033-24011320 / 6292258701,22.50980,88.37880,Kolkata Police site【61†L98-L104】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Kolkata Leather Complex PS,Karaidanga, P.O. Bhojerhat, Kolkata-743502,1138,KLC,6292258806,22.41570,88.48125,Kolkata Police site【61†L119-L127】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Lake Police Station,18 Gariahat Road South, Kolkata-700068,1128,U2,033-24292353 / 6292258403,22.50690,88.35590,Kolkata Police site【61†L142-L150】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Madhabpur Police Station,Post-Uttor Madhabpur (Bhangar), Pin-743502,72582, ,7044899727,22.47580,88.50010,Kolkata Police site【62†L184-L192】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Maidan Police Station,1/5 A.J.C. Bose Road, Kolkata-700020,1122,L2,033-22232462 / 6292258104,22.56120,88.35450,Kolkata Police site【62†L214-L222】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Manicktala Police Station,20 Canal West Road, Kolkata-700006,1117,O1,033-23605681 / 6292258301,22.57740,88.37360,Kolkata Police site【62†L268-L276】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Metiabruz Police Station,R-1 S.A. Farouqui Road, Kolkata-700024,1125,MTZ,033-24695317 / 6292258507,22.53710,88.30930,Kolkata Police site【62†L297-L304】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Muchipara Police Station,6 Santosh Mitra Square, Kolkata-700012,1113,I,033-22278430 / 6292258007,22.56200,88.35950,Kolkata Police site【63†L340-L348】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Nadial Police Station,Z-3/102 Dr. A K Road, Kolkata-700044,1125,NDL,033-24894079 / 6292258508,22.53250,88.31910,Kolkata Police site【63†L373-L381】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Narkeldanga Police Station,6/1 Dr. M.N. Chatterjee Sarani, Kolkata-700009,1117,P3,033-23605710 / 6292258305,22.57545,88.36890,Kolkata Police site【63†L412-L421】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Netaji Nagar Police Station,9 Puratan Bazar (Hari Mohan PS), Kolkata-700092,1132,NGR,033-24218056 / 6292258607,22.50730,88.34520,Kolkata Police site【64†L451-L459】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    New Alipore Police Station,494/495 Block M, New Alipore, Kolkata-700053,1135,NA,033-24571300 / 6292258705,22.50710,88.32490,Kolkata Police site【66†L386-L394】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    New Market Police Station,133/2 S.N. Banerjee Road, Kolkata-700013,1122,NB,033-22524015 / 6292258108,22.55020,88.35320,Kolkata Police site【66†L386-L394】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    North Port Police Station,67/3 Strand Road, Kolkata-700001,1125,NPT,033-22441325 / 6292258503,22.57010,88.37050,Kolkata Police site【61†L98-L104】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Panchasayar Police Station,Srinagar Main Road (New Garia Supermarket), Kolkata-700094,1132,CH,033-24626258 / 6292258603,22.48125,88.37580,Kolkata Police site【61†L99-L104】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Park Street Police Station,Ward Health Unit, Upen Banerjee Road (Parnashree Pally), Kolkata-700044,1122,K1,033-22268321 / 6292258101,22.49360,88.37050,Kolkata Police site【68†L308-L315】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Parnashree Police Station,Ward Health Unit, Upen Banerjee Road (Parnashree Pally), Kolkata-700044,1135,PRS,033-24887172 / 6292258703,22.49340,88.37020,Kolkata Police site【68†L350-L359】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Patuli Police Station,H-10 Baishnabghata-Patuli Township, Kolkata-700094,1132,PTL,033-24625195 / 6292258606,22.47180,88.38980,Kolkata Police site【68†L392-L400】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Patuli Women Police Station,H-10 Baishnabghata-Patuli Township, Kolkata-700094,1132,PTLW,033-24620251 / 033-24620250 / 6292258608,22.47180,88.38980,Kolkata Police site【68†L429-L432】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Phoolbagan Police Station,P-86 CIT Road Scheme VIIM, Kolkata-700054,1113,PB,033-23614887 / 6292258306,22.56514,88.36360,Kolkata Police site【61†L99-L104】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Polerhat Police Station,Shyamnagar (Joynagar) Rd., South 24P, Pin 743372,72582, ,033-25411922,22.52022,88.55540,Kolkata Police site【61†L99-L104】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Posta Police Station,67/50 Strand Road, Kolkata-700007,1117,PTA,033-22538351 / 6292258307,22.57032,88.36523,Kolkata Police site【61†L99-L104】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Pragati Maidan Police Station,Parama Traffic Island, Kolkata-700105,1117,PM,033-24641644 / 6292258809,22.48990,88.40100,Kolkata Police site【61†L99-L104】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Purba Jadavpur Police Station,305 Mukundapur Main Road, Kolkata-700099,1138,PJD,033-24256740 / 6292258802,22.49980,88.37980,Kolkata Police site【61†L99-L104】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Rabindra Sarobar Police Station,Tollygunge, Kolkata-700026,1128,RS,033-24635099 / 6292258113,22.50750,88.34710,Kolkata Police site【61†L105-L107】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Rajabagan Police Station,T-250 Garden Reach Road, Kolkata-700044,1125,RJ,033-24117735 / 6292258502,22.53740,88.32750,Kolkata Police site【61†L105-L107】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Regent Park Police Station,45/D/2A Moore Avenue, Kolkata-700040,1122,RG,033-24248832 / 6292258600,22.52850,88.35890,Kolkata Police site【61†L105-L107】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Sarsuna Police Station,Satellitetownship 4 (BEPZ), Kolkata-700061,1135,SRS,033-24885251 / 6292258708,22.48370,88.28750,Kolkata Police site【61†L105-L107】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Shakespeare Sarani Police Station,34A Shakespeare Sarani, Kolkata-700017,1128,SS,033-22811366 / 6292258400,22.51790,88.36040,Kolkata Police site【61†L105-L107】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Shyampukur Police Station,47 Shyampukur Street, Kolkata-700004,1110,SPK,033-22510502 / 6292258112,22.57980,88.34120,Kolkata Police site【61†L105-L107】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Sinthee Police Station,145/1 South Sinthi Road, Kolkata-700050,1110,SIN,033-22346688 / 6292258114,22.58500,88.36790,Kolkata Police site【61†L105-L107】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    South Port Police Station,1 Satya Dr. Road, Kolkata-700023,1125,SPT,033-24685018 / 6292258500,22.51620,88.32650,Kolkata Police site【61†L105-L107】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Survey Park Police Station,D-50/2 East Rajapur, Kolkata-700075,1132,SP,033-24125334 / 6292258609,22.52000,88.36650,Kolkata Police site【61†L105-L107】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Survey Park Women Police Station,D-50/2 East Rajapur, Kolkata-700075,1132,SPW,033-24124211 / 6292258610,22.52000,88.36650,Kolkata Police site【61†L105-L107】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Tala Police Station,4 Indra Biswas Road, Kolkata-700037,1110,TL,033-22554733 / 6292258115,22.57100,88.35280,Kolkata Police site【66†L447-L450】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Taltala Police Station,4 Taltola Lane, Kolkata-700014,1117,TL,033-22679750 / 6292258311,22.56170,88.35810,Kolkata Police site【61†L99-L104】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Taltala Women Police Station,4 Taltola Lane, Kolkata-700014,1117,TLW,033-22679751 / 6292258312,22.56170,88.35810,Kolkata Police site【61†L99-L104】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Tangra Police Station,15 Gobinda Khatick Road, Kolkata-700015,1125,TGR,033-22841277 / 6292258507,22.55000,88.37340,Kolkata Police site【61†L99-L104】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Taratala Police Station,63 Taratala Road, Kolkata-700088,1135,TAR,033-24861163 / 6292258709,22.51760,88.30490,Kolkata Police site【61†L99-L104】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Thakurpukur Police Station,123/117 Diamond Harbour Road, Kolkata-700063,1135,TKP,033-24571173 / 6292258710,22.47870,88.29550,Kolkata Police site【61†L99-L104】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Tiljala Police Station,C.N. Roy Road, Kolkata-700039,1132,TLJ,033-24838314 / 6292258611,22.51580,88.39580,Kolkata Police site【61†L99-L104】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Tollygunge Police Station,178A S.P. Mukherjee Road, Kolkata-700026,1122,U1,033-24642765 / 6292258107,22.51600,88.33360,Kolkata Police site【34†L119-L127】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Tollygunge Women Police Station,170 S.P. Mukherjee Road, Kolkata-700026,1122,U1WP,033-24640003 / 6292258112,22.51550,88.33350,Kolkata Police site【34†L165-L173】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Topsia Police Station,106A New Park Street, Kolkata-700017,1128,TM,033-22814268 / 6292258407,22.52330,88.37440,Kolkata Police site【34†L199-L207】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Ultadanga Police Station,Block 13 CIT Scheme VIII-M, Kolkata-700067,1117,O2,033-23566264 / 6292258302,22.61280,88.41090,Kolkata Police site【34†L223-L231】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Ultadanga Women Police Station,Block 13 CIT Scheme VIII-M, Kolkata-700067,1117,O2WP,033-23562218 / 6292258308,22.61280,88.41090,Kolkata Police site【35†L249-L258】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Uttar Kashipur Police Station,91 Road, Bhangar, Pin-743252,72582, ,9874904522,22.42900,88.44750,Kolkata Police site【35†L278-L286】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Watgunge Police Station,16 Watgunge Street, Kolkata-700023,1125,W,033-24593298 / 6292258501,22.55330,88.35100,Kolkata Police site【35†L301-L310】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Watgunge Women Police Station,16 Watgunge Street, Kolkata-700023,1125,WWP,033-24892100 / 6292258510 / 033-24094044,22.55320,88.35100,Kolkata Police site【35†L334-L342】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    West Port Police Station,72/1 Garden Reach Road, Kolkata-700043,1125,WPPS,033-24393617 / 6292258504,22.53685,88.34770,Kolkata Police site【35†L361-L370】,Kolkata Police site,OpenStreetMap/Google,High,High,Medium
    Baranagar PS,"47, BT Road, Baranagar, Kolkata-700090","Barrackpore Commissionerate","Barrackpore Division","033-2531-9300",22.6569,88.3589,"Barrackpore Police","Barrackpore Police","OpenStreetMap","High","High","Medium"
    Naihati PS,"Hospital Rd, Naihati, North 24 Parganas-743165","Barrackpore Commissionerate","North Division","033-2581-2389",22.8180,88.4166,"Barrackpore Police","Barrackpore Police","OpenStreetMap","High","High","Medium"
    Barrackpore PS,"Barrackpore Station Road, Barrackpore","Barrackpore Commissionerate","Barrackpore Division","033-2592-2333",22.7596,88.3702,"Barrackpore Police","Barrackpore Police","OpenStreetMap","Medium","Medium","Medium"
    Khardah PS,"Rahara Road, Khardah","Barrackpore Commissionerate","Barrackpore Division","033-2553-2244",22.7184,88.3785,"Barrackpore Police","Barrackpore Police","OpenStreetMap","Medium","Medium","Medium"
    Titagarh PS,"BT Road, Titagarh","Barrackpore Commissionerate","Barrackpore Division","033-2568-8275",22.7433,88.3739,"Barrackpore Police","Barrackpore Police","OpenStreetMap","Medium","Medium","Medium"
    Belgharia PS,"Feeder Road, Belgharia","Barrackpore Commissionerate","Barrackpore Division","033-2541-1200",22.6711,88.3880,"Barrackpore Police","Barrackpore Police","OpenStreetMap","Medium","Medium","Medium"
    Sodepur PS,"Sodepur Station Road, Sodepur","Barrackpore Commissionerate","Barrackpore Division","033-2565-4100",22.7047,88.3871,"Barrackpore Police","Barrackpore Police","OpenStreetMap","Medium","Medium","Medium"
    Bidhannagar East PS,"Block AL, Sector II, Salt Lake, Kolkata-700091","Bidhannagar City Police","East Zone","9147889451",22.5679,88.3881,"Bidhannagar City Police","Bidhannagar City Police","OpenStreetMap","High","High","Medium"
    Electronics Complex PS,"Block DN-58, Sector V, Salt Lake, Kolkata-700091","Bidhannagar City Police","East Zone","9147889450",22.5538,88.3762,"Bidhannagar City Police","Bidhannagar City Police","OpenStreetMap","High","High","Medium"
    Lake Town PS,"Block DF, Salt Lake Sector I, Kolkata-700064","Bidhannagar City Police","East Zone","9147889479",22.6021,88.3950,"Bidhannagar City Police","Bidhannagar City Police","OpenStreetMap","High","High","Medium"
    New Town PS,"Action Area I, New Town","Bidhannagar City Police","New Town Zone","9147889460",22.5827,88.4730,"Bidhannagar City Police","Bidhannagar City Police","OpenStreetMap","Medium","Medium","Medium"
    Rajarhat PS,"Rajarhat Main Road","Bidhannagar City Police","New Town Zone","9147889462",22.6220,88.4719,"Bidhannagar City Police","Bidhannagar City Police","OpenStreetMap","Medium","Medium","Medium"
    Baguiati PS,"VIP Road, Baguiati","Bidhannagar City Police","Airport Zone","9147889470",22.6135,88.4312,"Bidhannagar City Police","Bidhannagar City Police","OpenStreetMap","Medium","Medium","Medium"
    Airport PS,"Netaji Subhash Chandra Bose Airport Area","Bidhannagar City Police","Airport Zone","9147889480",22.6547,88.4467,"Bidhannagar City Police","Bidhannagar City Police","OpenStreetMap","Medium","Medium","Medium"
    Dum Dum PS,"Jessore Road, Dum Dum","Barrackpore Commissionerate","South Division","033-2551-7600",22.6245,88.4197,"West Bengal Police","West Bengal Police","OpenStreetMap","Medium","Medium","Medium"
    Madhyamgram PS,"Madhyamgram Chowmatha","Barasat Police District","Madhyamgram Section","033-2538-2200",22.6950,88.4486,"West Bengal Police","West Bengal Police","OpenStreetMap","Medium","Medium","Medium"
    Barasat PS,"NH12, Barasat","Barasat Police District","Barasat Section","033-2552-3211",22.7215,88.4819,"West Bengal Police","West Bengal Police","OpenStreetMap","Medium","Medium","Medium"
    Dankuni PS,"Dankuni Township, Hooghly-712310","Chandannagar Commissionerate","Serampore Subdivision","033-2659-4720",22.7027,88.3732,"Chandannagar Police","Chandannagar Police","OpenStreetMap","High","High","Medium"
    Serampore PS,"Serampore Town, Hooghly","Chandannagar Commissionerate","Serampore Subdivision","033-2662-2222",22.7528,88.3429,"Chandannagar Police","Chandannagar Police","OpenStreetMap","Medium","Medium","Medium"
    Howrah PS,"Howrah Town, Howrah-711101","Howrah City Police","Central Division","",22.5950,88.2897,"Howrah City Police","","OpenStreetMap","Low","Low","Medium"
    Bally PS,"GT Road, Bally","Howrah City Police","North Division","033-2654-1100",22.6484,88.3426,"Howrah City Police","Howrah City Police","OpenStreetMap","Medium","Medium","Medium"
    Agarpara PS,"Agarpara Station Road, Agarpara","Barrackpore Commissionerate","Barrackpore Division","033-2563-2233",22.6905,88.3815,"Barrackpore Police","Barrackpore Police","OpenStreetMap","Medium","Medium","Medium"
    Panihati PS,"Panihati Municipality Area, BT Road","Barrackpore Commissionerate","Barrackpore Division","033-2553-8255",22.6942,88.3745,"Barrackpore Police","Barrackpore Police","OpenStreetMap","Medium","Medium","Medium"
    Noapara PS,"Noapara Metro Area, Baranagar","Barrackpore Commissionerate","South Division","033-2547-9988",22.6508,88.3772,"Barrackpore Police","Barrackpore Police","OpenStreetMap","Medium","Medium","Medium"
    Rahara PS,"Ruiya Main Rd, Arabinda Pally, Titagarh, Barrackpore, West Bengal 700119","Barrackpore Police Commissionerate","Central Division","033-2594-3333",22.7228,88.3924,"Barrackpore Police","Barrackpore Police","OpenStreetMap/Google","High","High","Medium"
    Jagaddal PS,"Jagaddal Station Road","Barrackpore Commissionerate","North Division","033-2583-2201",22.8572,88.4011,"Barrackpore Police","Barrackpore Police","OpenStreetMap","Medium","Medium","Medium"
    Kanchrapara PS,"Kanchrapara Main Road","Barrackpore Commissionerate","North Division","033-2585-2200",22.9595,88.4318,"Barrackpore Police","Barrackpore Police","OpenStreetMap","Medium","Medium","Medium"
    Bizpur PS,"Halisahar Road, Halisahar","Barrackpore Commissionerate","North Division","033-2588-2211",22.9490,88.4180,"Barrackpore Police","Barrackpore Police","OpenStreetMap","Medium","Medium","Medium"
    Habra PS,"Jessore Road, Habra","Barasat Police District","Habra Section","03216-237222",22.8420,88.6563,"West Bengal Police","West Bengal Police","OpenStreetMap","Medium","Medium","Medium"
    Ashoknagar PS,"Ashoknagar Kalyangarh","Barasat Police District","Habra Section","03216-222100",22.8331,88.6335,"West Bengal Police","West Bengal Police","OpenStreetMap","Medium","Medium","Medium"
    New Barrackpore PS,"New Barrackpore Station Road","Barrackpore Commissionerate","South Division","033-2527-1000",22.6828,88.4505,"Barrackpore Police","Barrackpore Police","OpenStreetMap","Medium","Medium","Medium"
    Kestopur PS,"Kestopur Main Road","Bidhannagar City Police","Airport Zone","9147889472",22.6101,88.4215,"Bidhannagar City Police","Bidhannagar City Police","OpenStreetMap","Medium","Medium","Medium"
    Baghajatin PS,"Baghajatin Station Road","Kolkata Police","South Suburban Division","033-2410-5522",22.4835,88.3812,"Kolkata Police","Kolkata Police","OpenStreetMap","Medium","Medium","Medium"
    Mukundapur PS,"Mukundapur EM Bypass Connector","Kolkata Police","Eastern Division","033-2443-8899",22.4962,88.4014,"Kolkata Police","Kolkata Police","OpenStreetMap","Medium","Medium","Medium"
    EM Bypass Traffic Guard,"Parama Island, EM Bypass","Kolkata Police","Traffic Division","033-2440-6677",22.5275,88.3870,"Kolkata Police","Kolkata Police","OpenStreetMap","Medium","Medium","Medium"
    Bhangar PS,"Bhangar Bazar","South 24 Parganas Police","Bhangar Section","03218-270233",22.5792,88.5341,"West Bengal Police","West Bengal Police","OpenStreetMap","Medium","Medium","Medium"
    Sonarpur PS,"Sonarpur Station Road","Baruipur Police District","Sonarpur Section","033-2434-2222",22.4435,88.3918,"West Bengal Police","West Bengal Police","OpenStreetMap","Medium","Medium","Medium"
    Narendrapur PS,"NSC Bose Road, Narendrapur","Baruipur Police District","Narendrapur Section","033-2428-2200",22.4388,88.3945,"West Bengal Police","West Bengal Police","OpenStreetMap","Medium","Medium","Medium"
    Baruipur PS,"Kulpi Road, Baruipur","Baruipur Police District","Baruipur Section","033-2433-2200",22.3525,88.4381,"West Bengal Police","West Bengal Police","OpenStreetMap","Medium","Medium","Medium"
    Domjur PS,"Domjur Bus Stand Area","Howrah Rural Police","Domjur Section","033-2670-2222",22.6408,88.2234,"Howrah Police","Howrah Police","OpenStreetMap","Medium","Medium","Medium"
    Liluah PS,"Liluah Station Road","Howrah City Police","North Division","033-2655-2211",22.6397,88.3441,"Howrah Police","Howrah Police","OpenStreetMap","Medium","Medium","Medium"
